Strain gage
	Number of sensors	3			
	Number of time points	100					
Start data					
Sensor	1	Time (s)	1	F (N)	3.919749126
Sensor	2	Time (s)	1	F (N)	0.661529054
Sensor	3	Time (s)	1	F (N)	2.413458612
Sensor	1	Time (s)	2	F (N)	5.007634468
Sensor	2	Time (s)	2	F (N)	3.456973213
Sensor	3	Time (s)	2	F (N)	1.991044036
Sensor	1	Time (s)	3	F (N)	4.27338608
Sensor	2	Time (s)	3	F (N)	9.292435749
Sensor	3	Time (s)	3	F (N)	5.327559026
Sensor	1	Time (s)	4	F (N)	5.772851009
Sensor	2	Time (s)	4	F (N)	8.258947652
Sensor	3	Time (s)	4	F (N)	1.258417419
Sensor	1	Time (s)	5	F (N)	5.099249226
Sensor	2	Time (s)	5	F (N)	4.851891783
Sensor	3	Time (s)	5	F (N)	8.58048124
Sensor	1	Time (s)	6	F (N)	1.940440169
Sensor	2	Time (s)	6	F (N)	8.033130864
Sensor	3	Time (s)	6	F (N)	2.719081044
Sensor	1	Time (s)	7	F (N)	0.08672636
Sensor	2	Time (s)	7	F (N)	7.261335354
Sensor	3	Time (s)	7	F (N)	1.352829171
Sensor	1	Time (s)	8	F (N)	1.020607752
Sensor	2	Time (s)	8	F (N)	8.612519549
Sensor	3	Time (s)	8	F (N)	8.748368905
Sensor	1	Time (s)	9	F (N)	1.08090464
Sensor	2	Time (s)	9	F (N)	0.330002454
Sensor	3	Time (s)	9	F (N)	7.280728024
Sensor	1	Time (s)	10	F (N)	4.546900732
Sensor	2	Time (s)	10	F (N)	7.636948573
Sensor	3	Time (s)	10	F (N)	5.904255475
Sensor	1	Time (s)	11	F (N)	0.192649597
Sensor	2	Time (s)	11	F (N)	0.980129206
Sensor	3	Time (s)	11	F (N)	0.918638159
Sensor	1	Time (s)	12	F (N)	0.121885691
Sensor	2	Time (s)	12	F (N)	4.52257483
Sensor	3	Time (s)	12	F (N)	2.988895932
Sensor	1	Time (s)	13	F (N)	3.452192214
Sensor	2	Time (s)	13	F (N)	9.804239577
Sensor	3	Time (s)	13	F (N)	5.681124034
Sensor	1	Time (s)	14	F (N)	4.757364441
Sensor	2	Time (s)	14	F (N)	3.877864057
Sensor	3	Time (s)	14	F (N)	9.465149049
Sensor	1	Time (s)	15	F (N)	3.199537891
Sensor	2	Time (s)	15	F (N)	0.930060959
Sensor	3	Time (s)	15	F (N)	9.986724812
Sensor	1	Time (s)	16	F (N)	5.260820102
Sensor	2	Time (s)	16	F (N)	1.59260518
Sensor	3	Time (s)	16	F (N)	2.10861842
Sensor	1	Time (s)	17	F (N)	9.601941709
Sensor	2	Time (s)	17	F (N)	7.657887538
Sensor	3	Time (s)	17	F (N)	9.195105798
Sensor	1	Time (s)	18	F (N)	5.519115729
Sensor	2	Time (s)	18	F (N)	1.500565344
Sensor	3	Time (s)	18	F (N)	6.424424152
Sensor	1	Time (s)	19	F (N)	7.790731304
Sensor	2	Time (s)	19	F (N)	0.18568914
Sensor	3	Time (s)	19	F (N)	1.81215435
Sensor	1	Time (s)	20	F (N)	8.875687743
Sensor	2	Time (s)	20	F (N)	4.047547187
Sensor	3	Time (s)	20	F (N)	4.737463743
Sensor	1	Time (s)	21	F (N)	4.350615046
Sensor	2	Time (s)	21	F (N)	4.393708622
Sensor	3	Time (s)	21	F (N)	8.287390104
Sensor	1	Time (s)	22	F (N)	4.552075477
Sensor	2	Time (s)	22	F (N)	7.49363149
Sensor	3	Time (s)	22	F (N)	9.003720382
Sensor	1	Time (s)	23	F (N)	3.379003589
Sensor	2	Time (s)	23	F (N)	7.796745251
Sensor	3	Time (s)	23	F (N)	2.916987448
Sensor	1	Time (s)	24	F (N)	2.334716923
Sensor	2	Time (s)	24	F (N)	7.55758529
Sensor	3	Time (s)	24	F (N)	4.766656013
Sensor	1	Time (s)	25	F (N)	2.605014922
Sensor	2	Time (s)	25	F (N)	7.877793578
Sensor	3	Time (s)	25	F (N)	5.904282303
Sensor	1	Time (s)	26	F (N)	9.945391896
Sensor	2	Time (s)	26	F (N)	8.099736959
Sensor	3	Time (s)	26	F (N)	8.674916791
Sensor	1	Time (s)	27	F (N)	4.176012476
Sensor	2	Time (s)	27	F (N)	9.35628044
Sensor	3	Time (s)	27	F (N)	6.690166552
Sensor	1	Time (s)	28	F (N)	5.192684815
Sensor	2	Time (s)	28	F (N)	7.103504914
Sensor	3	Time (s)	28	F (N)	8.590653184
Sensor	1	Time (s)	29	F (N)	6.215011415
Sensor	2	Time (s)	29	F (N)	5.386291335
Sensor	3	Time (s)	29	F (N)	2.123470299
Sensor	1	Time (s)	30	F (N)	5.024076242
Sensor	2	Time (s)	30	F (N)	9.055531979
Sensor	3	Time (s)	30	F (N)	8.165046198
Sensor	1	Time (s)	31	F (N)	5.88794233
Sensor	2	Time (s)	31	F (N)	9.172584504
Sensor	3	Time (s)	31	F (N)	0.857753194
Sensor	1	Time (s)	32	F (N)	5.625848313
Sensor	2	Time (s)	32	F (N)	2.201849059
Sensor	3	Time (s)	32	F (N)	4.950926153
Sensor	1	Time (s)	33	F (N)	3.669619613
Sensor	2	Time (s)	33	F (N)	2.469298428
Sensor	3	Time (s)	33	F (N)	9.370916681
